distr_name,original_name
"Ароматизатор коптильный ""Жидкий дым"" 0.33л*12  ""Костровок""  ","Жидкий дым Классический 0,33 л."
"Вермишель ФУНЧОЗА бобовая, 100 гр.","Вермишель ФУНЧОЗА бобовая, 100 гр."
"Корейская заправка Для кальмаров  60гр*48шт(4бл*12шт)  ""Чим-Чим""","Корейская заправка для кальмаров, 60 гр"
"Корейская заправка Для капусты  60гр*48шт(4бл*12шт)  ""Чим-Чим""","Корейская заправка для капусты, 60 гр"
"Корейская заправка для моркови, 60 гр","Корейская заправка для моркови, 60 гр"
"Маринад для крылышек барбекю, 80 гр","Маринад для крылышек барбекю, 80 гр"
"Маринад для приготовления крылышек барбекю  80гр*40(4бл*10шт)  ""Костровок""","Маринад для крылышек барбекю, 80 гр"
"Маринад для приготовления крылышек медово-горчичных  80гр*40(4бл*10шт)  ""Костровок""","Маринад для крылышек медово-горчичных, 80 гр"
"Маринад для шашл\по-кавказски, 300 г","Маринад для шашл\по-кавказски, 300 г"
"Маринад С белым вином  80гр*40(4бл*10шт)  ""Костровок""","Маринад С Белым Вином, 80 гр"
"НД М-д Для курицы (чесн-тр), 0,3 кг.","Маринад для курицы, 300 г"
"Рассол ""Идея на закуску"" для крылышек копченых  150гр*32  ""Костровок"" ","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол ""Идея на закуску"" для окорочков копченых  150гр*32  ""Костровок"" ","Рассол ""Идея на закуску"" для окорочков копченых"
"Соевый соус  350гр*6  ""Чим-Чим""  ","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Соус для приготовления курицы терияки 150гр*20  ""Чим-Чим""","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"Жидкий дым ""Костровок"" Классический 0,33л (1х12) (#19) Россия () (шк- 0027)","Жидкий дым Классический 0,33 л."
Заправка корейская для капусты 60гр (блх12)(1х4) (#13) Россия () (шк - 1130),"Корейская заправка для капусты, 60 гр"
Заправка корейская для моркови 60гр (блх12)(1х4) (#13) Россия () (шк - 1123),"Корейская заправка для моркови, 60 гр"
Заправка корейская для фунчозы 60гр (блх12)(1х4) (#13) Россия () (шк - 5947),"Корейская заправка для фунчозы, 60 гр"
"Маринад для курицы (с чесноком) 0,25л,300г. пл/б (1х12) (#24) Россия () (шк - 0218)","Маринад для курицы, 300 г"
"Маринад для шашлыка ""Классический"" 0,25л,300г. пл/б (1х12) (#24) Россия () (шк - 0485)","Маринад для шашл\классический, 300 г"
"Маринад универсальный (мясо,рыба,птица) 0,25л,300г пл/б (1х12) (#24) Россия () (шк - 0195)","Маринад Универсальный, 300 г"
"Соус ""Костровок"" для ОСТРЫХ ребрышек с аджикой 90гр (бл.х10) (1х4) (#13) Россия (шк 8733)","Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Соус ""Чим-Чим"" для приготов. свинины в кисл-слад соусе 150г дой-пак (1*20) (#12),Россия () (шк-7002)","Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"Соус ""Чим-Чим"" для приготовления курицы ТЕРИЯКИ 150г дой-пак (1*20) (#12), Россия () (шк - 6968)","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"Соус ""Чим-Чим"" соевый 350г (290мл) ст/бут.(1*6) (#24), Россия () (шк - 7408)","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
Заправка корейская для кальмаров 60гр (блх12)(1х4) (#13) Россия () (шк - 5251),"Корейская заправка для кальмаров, 60 гр"
Заправка корейская для огурцов 60гр (блх12)(1х4) (#13) Россия () (шк - 2380),"Корейская заправка для огурцов, 60 гр"
Заправка корейская для хе из курицы 60гр (блх12)(1х4) (#13) Россия () (шк - 1161),"Корейская заправка для хе из курицы, 60 гр"
Заправка корейская для хе из рыбы 60гр (блх12)(1х4) (#13) Россия () (шк - 1154),"Корейская заправка для хе из рыбы, 60 гр"
"Лапша ""Чим-Чим"" гречневая Соба 250гр (1*12)(#10), Китай () (шк 7323)","Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"Лапша ""Чим-Чим"" пшеничная Удон 250гр (1*12)(#10), Китай () (шк 7347)","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
Маринад  Грибной 80гр (1х10)(1х4) (#13) Россия () (шк - 5121),"Маринад Грибной, 80 гр"
Маринад  Кавказский 80гр (1х10)(1х4) (#13) Россия () (шк - 1710),"Маринад Кавказский, 80 гр"
Маринад  С Белым Вином 80гр (1х10)(1х4) (#13) Россия () (шк - 1758),"Маринад С Белым Вином, 80 гр"
Маринад  Сырный 80гр (1х10)(1х4) (#13) Россия () (шк - 1734),"Маринад Сырный, 80 гр"
"Маринад ""Идея на закуску"" для крылышек БАРБЕКЮ 80гр (1х10)(1х4) (#13) Россия () (шк - 6470)","Маринад для крылышек барбекю, 80 гр"
"Маринад ""Идея на закуску"" для крылышек МЕД.-ГОРЧИЧ. 80гр (1х10)(1х4) (#13) Россия () (шк 7613)","Маринад для крылышек медово-горчичных, 80 гр"
"Маринад ""Идея на закуску"" для крылышек ЧЕСНОЧНЫХ 60гр (1х10)(1х4) (#13)Россия () (шк - 6531)","Маринад для чесночных крылышек, 60 гр."
"Маринад для барбекю (American Style) 0,25л,300г пл/б (1х12) (#24) Россия () (шк - 0546)","Маринад для барбекю, 300 г"
"Маринад для мяса (Брусничныйl) 0,25л,300г пл/б (1х12) (#24) Россия () (шк - 0232)","Маринад для мяса (брусничный), 300 г"
"Маринад для рыбы (сок лимона+белый перец) 0,25л,300г пл/б (1х12) (#24) Россия () (шк - 0256)","Маринад для рыбы, 300 г"
"Маринад для шашлыка ""По-кавказски"" 0,25л,300г. пл/б (1х12) (#24) Россия () (шк - 0522)","Маринад для шашл\по-кавказски, 300 г"
"Набор ""Чим-Чим"" для приготовления Фунчоза в устричном соусе 190 гр (1*6) (#11) Россия () (шк 8054)","Набор для приготовления Фунчозы в Устричном соусе,"
"Набор ""Чим-Чим"" для приготовления Яки Соба (гречневая лапша) 235гр (1*6) (#15) Россия () (шк - 5411)","Набор для приготовления Яки Соба, 6 шт."
"Набор ""Чим-Чим"" для приготовления Яки Удон (пшенич лапша) 235 гр (1*6) (#15) Россия () (шк - 5442)","Набор для приготовления Яки Удон, 6 шт."
"Набор ""Чим-Чим"" для салата из фунчозы 160г (1х12) (#9) Россия () (шк - 3776)","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"Приправа для маринов. шашлыка ""Костровок"" в луке и томатах 25г (1х20)(1х4) (#7) Россия () (шк 8887)","Приправа ЖМ для шашл\в луке и томатах, саше 25 гр."
"Приправа для маринов. шашлыка ""Костровок"" в майонезе 25г (1х20)(1х4) (#7) Россия () (шк 8825)","Приправа ЖМ для шашл\в майонезе, саше 25 гр."
"Приправа для маринов. шашлыка ""Костровок"" в минерал. воде 25г (1х20)(1х4) (#7) Россия () (шк 8856)","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Рассол  ""Идея на закуску"" для грудинки копченой 150г (блх8)(1х4) (#7) Россия () (шк - 3578)","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Рассол  ""Идея на закуску"" для крылышек копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3547)","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол  ""Идея на закуску"" для окорочков копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3554)","Рассол ""Идея на закуску"" для окорочков копченых"
"Рассол  ""Идея на закуску"" для рыбы горячего копчения 150г (блх8)(1х4) (#7) Россия () (шк- 3561)","Рассол ""Идея на закуску"" для рыбы горячего копчения"
"Соус  для мяса ""Костровок"" Аджичный на кизиле 300г с/б (1х12))(#24) Россия (шк 4902)",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус  для мяса ""Костровок"" Барбекю с черносливом 320г с/б (1х12))(#24) Россия (шк 4599)",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус  для мяса ""Костровок"" Брусничный с лесной брусникой 285г с/б (1х12))(#24) Россия (шк 4605)",Соус для мяса Брусничный 285 гр (250 мл)
"Соус  для мяса ""Костровок"" Перечный с черным перцем 300г с/б (1х12))(#24) Россия (шк 4612)",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус ""Идея на закуску"" для крылышек ТЕРИЯКИ 90гр (бл.х10)(1х4) (#13) Россия () (шк - 6494)","Соус Для крылышек терияки, 90 гр"
"Соус ""Костровок"" для ребрышек в соево-медовой глазури 90гр (бл.х10) (1х4) (#13) Россия (шк 8719)","Соус Ребрышки соево-медовые, 90 гр."
"Соус ""Чим-Чим"" для приготовления овощей по-тайски 150г дой-пак (1*20) (#12), Россия () (шк - 6982)","Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
"Соус ""Чим-Чим"" для приготовления Пад Тай (рис.лапша) 90гр (бл.х10)(1х4) (#13) Россия () (шк 6876)","Соус для приготовления Пад Тай, 90 гр."
"Соус ""Чим-Чим"" для приготовления Яки Соба (греч.лапша) 90гр (бл.х10)(1х4) (#13) Россия () (шк 6906)","Соус для приготовления Яки Соба, 90 гр"
"Соус ""Чим-Чим"" для приготовления Яки Удон (пшенич.лапша) 90гр (бл.х10)(1х4) (#13) Россия ()(шк 6937)","Соус для приготовления Яки Удон, 90 гр"
"Соус ""Чим-Чим"" для фунчозы с говядиной в устричном соусе 90гр (бл.х10)(1х4)(#13) Россия () (шк 8764)","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус ""Чим-Чим"" соевый ""Для СУШИ и РОЛЛОВ"" 250г ст/бут.(1*12) (#24), Корея () (шк 2192/9013)","Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
"Соус ""Чим-Чим"" соевый ""Легкий"" 250г ст/бут.(1*12) (#24), Корея () (шк 2185/8993)","Соевый соус ""Легкий"", 250 мл"
"Соус ""Чим-Чим"" соевый ""Премиум"" 250г ст/бут.(1*12) (#24), Корея () (шк 2178/9037)","Соевый соус ""Премиум"", 250 мл"
"Соус WOK ""Чим-Чим"" Кисло-Сладкий 300г ст/бут.(1*12) (#24), Россия () (шк 4643)",Соус WOK Кисло-Сладкий 300 гр.
